Name,Team,Twitter_name,Wiki,Division,Conference
Goran Dragic,Miami Heat,@Goran_Dragic,/wiki/Goran_Dragi%C4%87,Southeast Division,EASTERN CONFERENCE
Wayne Ellington,Miami Heat,@WayneElli22,/wiki/Wayne_Ellington,Southeast Division,EASTERN CONFERENCE
Udonis Haslem,Miami Heat,@ThisisUD,/wiki/Udonis_Haslem,Southeast Division,EASTERN CONFERENCE
Rodney McGruder,Miami Heat,@RodneyMcGruder,/wiki/Rodney_McGruder,Southeast Division,EASTERN CONFERENCE
Jordan Mickey,Miami Heat,@Jmickey_02,/wiki/Jordan_Mickey,Southeast Division,EASTERN CONFERENCE
Kelly Olynyk,Miami Heat,@KellyOlynyk,/wiki/Kelly_Olynyk,Southeast Division,EASTERN CONFERENCE
Josh Richardson,Miami Heat,@J_Rich1,/wiki/Josh_Richardson,Southeast Division,EASTERN CONFERENCE
Dion Waiters,Miami Heat,@dionwaiters3,/wiki/Dion_Waiters,Southeast Division,EASTERN CONFERENCE
Derrick Walton,Miami Heat,@DerrickWalton10,/wiki/Derrick_Walton,Southeast Division,EASTERN CONFERENCE
Okaro White,Miami Heat,@owhite10,/wiki/Okaro_White,Southeast Division,EASTERN CONFERENCE
Hassan Whiteside,Miami Heat,@youngwhiteside,/wiki/Hassan_Whiteside,Southeast Division,EASTERN CONFERENCE
Justise Winslow,Miami Heat,@iamjustise,/wiki/Justise_Winslow,Southeast Division,EASTERN CONFERENCE
Jamel Artis,Orlando Magic,@melartis1,/wiki/Jamel_Artis,Southeast Division,EASTERN CONFERENCE
D. J. Augustin,Orlando Magic,@djaugustin14,/wiki/D._J._Augustin,Southeast Division,EASTERN CONFERENCE
Khem Birch,Orlando Magic,@mtlsgift,/wiki/Khem_Birch,Southeast Division,EASTERN CONFERENCE
Bismack Biyombo,Orlando Magic,@bismackbiyombo,/wiki/Bismack_Biyombo,Southeast Division,EASTERN CONFERENCE
Evan Fournier,Orlando Magic,@EvanFourmizz,/wiki/Evan_Fournier,Southeast Division,EASTERN CONFERENCE
Aaron Gordon,Orlando Magic,@Double0AG,/wiki/Aaron_Gordon,Southeast Division,EASTERN CONFERENCE
Mario Hezonja,Orlando Magic,@OrlandoMagic,/wiki/Mario_Hezonja,Southeast Division,EASTERN CONFERENCE
Jonathan Isaac,Orlando Magic,@jisaac_01,/wiki/Jonathan_Isaac,Southeast Division,EASTERN CONFERENCE
Wes Iwundu,Orlando Magic,@_Iwundu25,/wiki/Wes_Iwundu,Southeast Division,EASTERN CONFERENCE
Shelvin Mack,Orlando Magic,@ShelvinMack,/wiki/Shelvin_Mack,Southeast Division,EASTERN CONFERENCE
Adreian Payne,Orlando Magic,@Adreian_Payne,/wiki/Adreian_Payne,Southeast Division,EASTERN CONFERENCE
Terrence Ross,Orlando Magic,@T_DotFlight31,/wiki/Terrence_Ross,Southeast Division,EASTERN CONFERENCE
Jonathon Simmons,Orlando Magic,@ThaRealJsimms,/wiki/Jonathon_Simmons,Southeast Division,EASTERN CONFERENCE
Marreese Speights,Orlando Magic,@Mospeights16,/wiki/Marreese_Speights,Southeast Division,EASTERN CONFERENCE
Nikola Vucevic,Orlando Magic,@nikolavucevic,/wiki/Nikola_Vu%C4%8Devi%C4%87,Southeast Division,EASTERN CONFERENCE
Bradley Beal,Washington Wizards,@RealDealBeal23,/wiki/Bradley_Beal,Southeast Division,EASTERN CONFERENCE
Tim Frazier,Washington Wizards,@Timfraz23,/wiki/Tim_Frazier,Southeast Division,EASTERN CONFERENCE
Marcin Gortat,Washington Wizards,@MGortat,/wiki/Marcin_Gortat,Southeast Division,EASTERN CONFERENCE
Marcin Gortat,Washington Wizards,@MGortat,/wiki/Marcin_Gortat,Southeast Division,EASTERN CONFERENCE
Sheldon Mac,Washington Wizards,@sheldonmacc,/wiki/Sheldon_Mac,Southeast Division,EASTERN CONFERENCE
Ian Mahinmi,Washington Wizards,@Ianmahinmi,/wiki/Ian_Mahinmi,Southeast Division,EASTERN CONFERENCE
Chris McCullough,Washington Wizards,@briskuno,/wiki/Chris_McCullough,Southeast Division,EASTERN CONFERENCE
Jodie Meeks,Washington Wizards,@jmeeks20,/wiki/Jodie_Meeks,Southeast Division,EASTERN CONFERENCE
Markieff Morris,Washington Wizards,@keefmorris,/wiki/Markieff_Morris,Southeast Division,EASTERN CONFERENCE
Kelly Oubre Jr.,Washington Wizards,@KELLYOUBREJR,/wiki/Kelly_Oubre_Jr.,Southeast Division,EASTERN CONFERENCE
Otto Porter,Washington Wizards,@OttoPorter,/wiki/Otto_Porter,Southeast Division,EASTERN CONFERENCE
Devin Robinson,Washington Wizards,@drobbb3,/wiki/Devin_Robinson,Southeast Division,EASTERN CONFERENCE
Tomas Satoransky,Washington Wizards,@satoransky,/wiki/Tom%C3%A1%C5%A1_Satoransk%C3%BD,Southeast Division,EASTERN CONFERENCE
J. J. Barea,Dallas Mavericks,@jjbareapr,/wiki/J._J._Barea,Southwest Division,WESTERN CONFERENCE
Harrison Barnes,Dallas Mavericks,@HBarnes,/wiki/Harrison_Barnes,Southwest Division,WESTERN CONFERENCE
Kyle Collinsworth,Dallas Mavericks,@bigrussia5,/wiki/Kyle_Collinsworth,Southwest Division,WESTERN CONFERENCE
